,BC Liquor Distribution Branch   ,15.80%,-,-,689,"135879 "
,BC Pension Corporation ,50.70%,-,-,275,"58851 "
,BC Public Service Agency ,32.00%,-,-,180,"58255 "
,BC Representative for Children and Youth,6.50%,-,-,5,"2574 "
,BC Securities Commission ,14.40%,-,-,34,"13610 "
,Community Living BC ,3.70%,-,-,20,"8918 "
,Destination BC Corporation,9.00%,-,-,9,"7096 "
,Elections BC ,100.00%,-,-,90,"18964 "
,Emergency Management BC,14.30%,-,-,31,"19278 "
,Environmental Assessment Office ,81.10%,-,-,73,"22584 "
,Forest Practices Board ,23.80%,-,-,5,"2782 "
,Government Communications and Public Engagement,27.40%,-,-,90,"28480 "
,Legislative Assembly of BC,16.70%,-,0.001,46,"20545 "
,"Ministry of Advanced Education, Skills and Training",32.50%,-,-,122,"34565 "
,Ministry of Agriculture ,19.60%,-,-,78,"22779 "
,Ministry of Attorney General,6.40%,-,-,282,"173400 "
,Ministry of Children and Family Development,9.60%,-,-,477,"157164 "
,Ministry of Citizens' Services,34.90%,-,-,653,"141326 "
,Ministry of Education ,43.50%,-,-,167,"37255 "
,"Ministry of Energy, Mines and Petroleum Resources",44.90%,-,-,146,"34419 "
,Ministry of Environment and Climate Change Strategy,33.00%,-,-,337,"92965 "
,Ministry of Finance ,69.60%,-,-,997,"201761 "
,"Ministry of Forests, Lands, Natural Resource Operations and Rural Development",9.90%,-,-,467,"172249 "
,Ministry of Health ,22.00%,-,-,290,"85366 "
,Ministry of Indigenous Relations and Reconciliation,44.20%,-,-,103,"40937 "
,"Ministry of Jobs, Trade and Technology",25.50%,-,-,93,"45614 "
,Ministry of Labour,16.70%,-,-,49,"15583 "
,Ministry of Mental Health and Addictions,65.50%,-,-,38,"8491 "
,Ministry of Municipal Affairs and Housing,24.30%,-,-,116,"38676 "
,Ministry of Public Safety and Solicitor General,5.10%,-,-,173,"63029 "
,Ministry of Social Development and Poverty Reduction,26.60%,-,-,538,"133666 "
,"Ministry of Tourism, Arts and Culture",50.00%,-,-,37,"8442 "
,Ministry of Transportation and Infrastructure ,11.60%,-,-,165,"47811 "
,Office of Information and Privacy Commissioner,72.20%,-,-,26,"18116 "
,Office of the Auditor General of BC,69.60%,-,-,78,"25599 "
,Office of the Merit Commissioner ,100.00%,-,-,7,"1787 "
,Office of the Ombudsperson ,42.90%,-,-,27,"9334 "
,Office of the Premier ,40.20%,-,-,35,"18706 "
,Royal BC Museum ,28.40%,-,-,38,"21060 "
